Participant Number,Age,Date,Student or Adult,Group
21,16,2025-07-11,visual,teacher
28,15,2025-07-06,sonification,student
30,30,2025-07-06,sonification,student
32,32,2025-07-06,sonification,student
1231,12312,2025-07-06,sonification,student
9999,25,2025-07-06,sonification,student
50,50,2025-07-06,sonification,student
8888,8888,2025-07-06,sonification,student
42,42,2025-07-06,sonification,student
111,111,2025-07-06,sonification,student
78,78,2025-07-06,sonification,student
78,78,2025-07-06,sonification,student
38,38,2025-07-06,sonification,student
88,88,2025-07-06,sonification,student
98,98,2025-07-06,sonification,student
99,99,2025-07-06,sonification,student
999,999,2025-07-06,sonification,student
999,999,2025-07-06,sonification,student
9999,9999,2025-07-06,sonification,student
99999,99999,2025-07-06,sonification,student
999999,999999,2025-07-06,sonification,student
888,888,2025-07-06,sonification,student
3,3,2025-07-06,sonification,student
8,8,2025-07-06,sonification,student
99,99,2025-07-06,sonification,student
1,1,2025-07-06,sonification,student
